Animal,Symptoms,Disease
Sheep,"Loss of appetite, Eye discharge, Incoordination, Depression, Fever, Paralysis",Listeriosis
Goat,"Dehydration, Diarrhoea, Abdominal pain, Sudden death, Bloat, Bloody diarrhoea",Enterotoxaemia
Buffalo,"Lethargy, Weakness, Yellow urine, Depression, Pale mucous membranes, Weight loss, Fever, Anaemia",Anaplasmosis
Goat,"Yellow urine, Pale mucous membranes, Depression, Anaemia, Weight loss",Anaplasmosis
Sheep,"Reduced milk yield, Painful udder, Fever, Depression, Udder swelling, Abnormal milk, Loss of appetite",Mastitis
Sheep,"Dehydration, Diarrhoea, Depression, Anaemia, Loss of appetite",Amphistomiasis
Cow,"Fever, Abortion, Depression, Reduced fertility, Infertility, Stillbirth",Campylobacter Abortion
Sheep,"Swollen lymph nodes, Reduced milk yield, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Goat,"Difficulty breathing, Sudden death, Jaw swelling, Rapid breathing, Nasal discharge, Facial swelling, Depression, High fever",Haemorrhagic Septicaemia
Buffalo,"Dullness, Weight loss, Dehydration, Diarrhoea, Anaemia",Amphistomiasis
Buffalo,"Bloody diarrhoea, Bloat, Abdominal pain, Sudden death, Dehydration",Enterotoxaemia
Cow,"Stillbirth, Abortion, Reduced fertility",Campylobacter Abortion
Buffalo,"Depression, Rapid breathing, Jaw swelling, Facial swelling",Haemorrhagic Septicaemia
Buffalo,"Paralysis, Incoordination, Eye discharge",Listeriosis
Cow,"Weakness, Swollen lymph nodes, Rapid breathing, Sudden death",East Coast Fever
Goat,"Cough, Dehydration, Diarrhoea",Peste des Petits Ruminants
Goat,"Diarrhoea, Loss of appetite, Fever, Dehydration, Depression, Lethargy",Calf Scour
Goat,"Depression, Swollen lymph nodes, Skin nodules, Skin lesions",Sheep and Goat Pox
Cow,"Dark urine, Yellow urine, Pale mucous membranes",Babesiosis
Buffalo,"Dehydration, High fever, Loss of appetite, Depression, Nasal discharge, Diarrhoea, Difficulty breathing, Cough",Peste des Petits Ruminants
Goat,"Sudden fever, Reduced movement, Swollen joints",Bovine Ephemeral Fever
Buffalo,"Loss of appetite, Difficulty breathing, High fever, Depression, Cough, Diarrhoea, Dehydration",Peste des Petits Ruminants
Buffalo,"Hair loss, Dullness, Itching, Skin lesions",Ringworm
Buffalo,"Rapid breathing, Swollen lymph nodes, Difficulty breathing, Sudden death",East Coast Fever
Sheep,"Weight loss, Dehydration, Depression, Weakness, Diarrhoea, Reduced milk yield, Dullness",Johne’s Disease
Sheep,"Abnormal milk, Udder swelling, Painful udder",Mastitis
Buffalo,"Skin nodules, Loss of appetite, Nasal discharge, Swollen lymph nodes, Depression, Skin lesions",Sheep and Goat Pox
Cow,"Depression, Recumbency, Weakness, Incoordination, Loss of appetite, Reduced movement, Lethargy, Dullness",Milk Fever
Buffalo,"Difficulty breathing, Sneezing, Nasal discharge, Cough, Fever, Depression, Rapid breathing, Eye discharge",Bovine Rhinotracheitis
Buffalo,"Neurological signs, Difficulty breathing, Paralysis, Convulsions, Incoordination, Sudden death",Rabies
Sheep,"Painful udder, Udder swelling, Abnormal milk",Mastitis
Goat,"Abortion, Infertility, Stillbirth, Depression",Brucellosis
Goat,"Pale mucous membranes, Anaemia, Yellow urine",Anaplasmosis
Buffalo,"Weakness, Sudden death, High fever, Bloody diarrhoea, Loss of appetite, Diarrhoea",Salmonellosis
Goat,"Paralysis, Convulsions, Incoordination, Sudden death, Restlessness, Neurological signs, Difficulty breathing",Rabies
Sheep,"Bloody diarrhoea, Weight loss, Depression, Weakness, Dullness",Coccidiosis
Goat,"Rapid breathing, Eye discharge, Difficulty breathing, Fever, Cough, Sneezing",Bovine Rhinotracheitis
Sheep,"Jaw swelling, Rapid breathing, Difficulty breathing, Facial swelling",Haemorrhagic Septicaemia
Goat,"Reduced movement, Swollen joints, Dullness, Sudden fever",Bovine Ephemeral Fever
Cow,"Diarrhoea, Cough, Dehydration, Nasal discharge",Peste des Petits Ruminants
Buffalo,"Fever, Incoordination, Loss of appetite, Eye discharge, Recumbency, Depression, Neurological signs, Paralysis",Listeriosis
Buffalo,"High fever, Depression, Lethargy, Weight loss, Anaemia, Swollen lymph nodes, Weakness, Pale mucous membranes",Theileriosis
Buffalo,"Facial swelling, Jaw swelling, Rapid breathing",Haemorrhagic Septicaemia
Sheep,"Dehydration, Diarrhoea, Difficulty breathing, Nasal discharge, Cough",Peste des Petits Ruminants
Sheep,"Reduced movement, Recumbency, Convulsions, Neurological signs, Difficulty breathing, Incoordination",Tetanus
Goat,"Skin lesions, Itching, Scratching, Hair loss, Dullness, Skin nodules",Mange
Cow,"Rapid breathing, Weakness, Sudden death, Nasal bleeding, Foamy saliva",Anthrax
Sheep,"Loss of appetite, Depression, Weakness, Diarrhoea, Dehydration, Lethargy, Fever",Calf Scour
Sheep,"Yellow urine, Pale mucous membranes, High fever, Lethargy, Dark urine",Babesiosis
Goat,"Abortion, Infertility, Stillbirth",Brucellosis
Buffalo,"Grunting sound, Chest pain, Swollen joints",Black Quarter
Goat,"Diarrhoea, Reduced milk yield, Weight loss",Johne’s Disease
Sheep,"Loss of appetite, Neurological signs, Recumbency, Fever, Incoordination, Eye discharge, Depression, Paralysis",Listeriosis
Goat,"Dehydration, Weakness, Dullness, Anaemia, Diarrhoea, Depression",Amphistomiasis
Buffalo,"Blisters on feet, Lameness, Hoof lesions, Blisters in mouth, Excess salivation, Drooling",Foot and Mouth Disease
Cow,"Loss of appetite, Diarrhoea, Reduced milk yield, Dehydration, Weight loss",Johne’s Disease
Buffalo,"Abortion, Loss of appetite, Stillbirth, Reduced fertility",Campylobacter Abortion
Cow,"Sudden death, Bloody diarrhoea, Dehydration",Rinderpest
Cow,"Fever, Abnormal milk, Weakness, Painful udder, Udder swelling, Depression",Mastitis
Goat,"Stillbirth, Reduced fertility, Abortion, Loss of appetite",Campylobacter Abortion
Goat,"Recumbency, Hoof lesions, Reduced movement, Lameness, Cracked hooves, Loss of appetite, Swollen joints, Fever",Foot Rot
Cow,"Udder swelling, Painful udder, Abnormal milk",Mastitis
Buffalo,"Lameness, Chest pain, Grunting sound, Reduced movement, Sudden fever, Swollen joints, High fever",Black Quarter
Buffalo,"Yellow urine, Weakness, Anaemia, Pale mucous membranes",Anaplasmosis
Sheep,"Weight loss, Scratching, Skin nodules, Hair loss, Itching",Mange
Buffalo,"Stillbirth, Fever, Infertility, Abortion, Swollen joints",Brucellosis
Cow,"Swollen joints, Fever, Abortion, Depression, Infertility, Stillbirth",Brucellosis
Goat,"Weight loss, Pale mucous membranes, Depression, Anaemia, Weakness, Yellow urine",Anaplasmosis
Cow,"Reduced milk yield, Weight loss, Anaemia",Fascioliasis
Sheep,"Lameness, Hoof lesions, Swollen joints, Cracked hooves, Recumbency",Foot Rot
Cow,"Abnormal milk, Udder swelling, Painful udder",Mastitis
Goat,"Depression, Eye discharge, Fever, Sneezing, Nasal discharge, Difficulty breathing, Rapid breathing, Cough",Bovine Rhinotracheitis
Cow,"Lameness, Nasal discharge, Facial swelling, Depression, Jaw swelling",Blue Tongue
Goat,"Depression, Weakness, Fever, Stillbirth, Abortion, Loss of appetite, Reduced fertility, Infertility",Campylobacter Abortion
Cow,"Skin lesions, Reduced milk yield, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Cow,"Nasal discharge, Cough, Dehydration, Diarrhoea",Peste des Petits Ruminants
Cow,"Convulsions, Neurological signs, Foamy saliva, Paralysis",Rabies
Goat,"Weight loss, Anaemia, Weakness, Reduced milk yield, Loss of appetite, Dehydration, Pale mucous membranes, Depression",Fascioliasis
Goat,"Difficulty breathing, Jaw swelling, High fever, Facial swelling, Rapid breathing, Depression",Haemorrhagic Septicaemia
Buffalo,"Abnormal milk, Udder swelling, Painful udder, Loss of appetite",Mastitis
Goat,"Weakness, Depression, Anaemia, Yellow urine, Lethargy, Pale mucous membranes, Weight loss",Anaplasmosis
Cow,"Diarrhoea, Weakness, Reduced milk yield, Weight loss",Johne’s Disease
Cow,"Diarrhoea, Weight loss, Reduced milk yield, Dullness",Johne’s Disease
Goat,"Depression, Bloody diarrhoea, Sudden death, Dehydration",Rinderpest
Buffalo,"Reduced movement, Loss of appetite, Incoordination, Recumbency, Depression",Milk Fever
Goat,"Lameness, Nasal discharge, Facial swelling, Difficulty breathing, Jaw swelling, High fever, Depression, Rapid breathing",Blue Tongue
Buffalo,"Depression, Sudden death, Rapid breathing, Difficulty breathing, Swollen lymph nodes, Weakness, Nasal discharge",East Coast Fever
Buffalo,"Weight loss, Scratching, Hair loss, Restlessness, Itching, Skin nodules, Skin lesions",Mange
Cow,"Lethargy, Diarrhoea, Dehydration",Calf Scour
Sheep,"Fever, Eye discharge, Loss of appetite, Paralysis, Incoordination, Neurological signs",Listeriosis
Goat,"Diarrhoea, Weakness, Dehydration, Weight loss, Lethargy, Fever",Calf Scour
Cow,"Recumbency, Neurological signs, Reduced movement, Incoordination, Convulsions",Tetanus
Buffalo,"Itching, Scratching, Weight loss, Skin nodules",Mange
Goat,"Dehydration, Sudden death, Diarrhoea, Bloody diarrhoea, Depression, Nasal discharge, Loss of appetite, High fever",Rinderpest
Buffalo,"Excess salivation, Blisters in mouth, Lameness, Blisters on feet",Foot and Mouth Disease
Sheep,"Weight loss, Skin nodules, Scratching, Itching",Mange
Cow,"Swollen joints, Chest pain, Lameness, Grunting sound",Black Quarter
Cow,"Grunting sound, Reduced movement, Chest pain, Recumbency, Swollen joints",Black Quarter
Goat,"Sudden fever, High fever, Chest pain, Swollen joints, Recumbency, Lameness, Reduced movement, Grunting sound",Black Quarter
Cow,"Blisters on feet, Excess salivation, Reduced milk yield, Hoof lesions, Blisters in mouth",Foot and Mouth Disease
Goat,"Depression, Dullness, Weakness, Weight loss, Diarrhoea, Loss of appetite, Reduced milk yield, Dehydration",Johne’s Disease
Goat,"Neurological signs, Incoordination, Depression, Eye discharge, Paralysis",Listeriosis
Buffalo,"Recumbency, Incoordination, Reduced movement, Lethargy, Dullness, Loss of appetite",Milk Fever
Cow,"High fever, Sudden death, Dehydration, Bloody diarrhoea, Loss of appetite",Rinderpest
Cow,"Lethargy, Anaemia, Weight loss, Pale mucous membranes, Yellow urine, Weakness",Anaplasmosis
Goat,"Swollen joints, High fever, Reduced movement, Dullness, Sudden fever, Depression",Bovine Ephemeral Fever
Cow,"Difficulty breathing, Convulsions, Incoordination, Sudden death, Paralysis, Foamy saliva, Neurological signs, Restlessness",Rabies
Buffalo,"Stillbirth, Abortion, Swollen joints, Depression, Fever, Weakness, Infertility",Brucellosis
Goat,"Incoordination, Eye discharge, Paralysis",Listeriosis
Sheep,"Dehydration, Anaemia, Diarrhoea, Loss of appetite, Dullness",Amphistomiasis
Cow,"Jaw swelling, Facial swelling, Rapid breathing, Lameness, Depression, Difficulty breathing",Blue Tongue
Cow,"Weight loss, Scratching, Itching, Restlessness, Dullness, Skin nodules, Skin lesions, Hair loss",Mange
Goat,"Reduced movement, Recumbency, Incoordination",Milk Fever
Buffalo,"Sudden death, Loss of appetite, Nasal discharge, High fever, Bloody diarrhoea, Diarrhoea, Dehydration, Depression",Rinderpest
Sheep,"Weakness, Loss of appetite, Depression, Bloody diarrhoea, High fever, Sudden death, Diarrhoea",Salmonellosis
Sheep,"High fever, Difficulty breathing, Rapid breathing, Facial swelling, Jaw swelling",Haemorrhagic Septicaemia
Buffalo,"Blisters on feet, Excess salivation, Blisters in mouth",Foot and Mouth Disease
Goat,"Recumbency, Difficulty breathing, Restlessness, Convulsions, Incoordination, Rapid breathing",Tetanus
Sheep,"Swollen lymph nodes, Skin nodules, Skin lesions",Sheep and Goat Pox
Goat,"Skin nodules, Scratching, Itching",Mange
Goat,"Sudden fever, Lameness, Swollen joints, Reduced movement",Bovine Ephemeral Fever
Cow,"Recumbency, Incoordination, Reduced movement",Milk Fever
Cow,"Convulsions, Paralysis, Neurological signs",Rabies
Buffalo,"Anaemia, Weakness, Loss of appetite, Reduced milk yield, Dehydration, Pale mucous membranes, Weight loss",Fascioliasis
Goat,"Weight loss, Loss of appetite, Reduced milk yield, Anaemia",Fascioliasis
Buffalo,"Rapid breathing, Sudden death, Swollen lymph nodes",East Coast Fever
Sheep,"Abortion, Stillbirth, Reduced fertility",Campylobacter Abortion
Buffalo,"Incoordination, Recumbency, Reduced movement, Dullness, Lethargy, Loss of appetite, Weakness",Milk Fever
Sheep,"Infertility, Stillbirth, Abortion",Brucellosis
Buffalo,"Reduced milk yield, Weight loss, Anaemia, Pale mucous membranes, Weakness, Loss of appetite, Depression, Dehydration",Fascioliasis
Buffalo,"Lethargy, Dehydration, Diarrhoea",Calf Scour
Sheep,"Grunting sound, Swollen joints, Chest pain",Black Quarter
Goat,"Abdominal pain, Sudden death, Bloat",Enterotoxaemia
Goat,"High fever, Sudden fever, Swollen joints, Lameness, Recumbency, Reduced movement, Chest pain, Grunting sound",Black Quarter
Buffalo,"Sudden death, Abdominal pain, Bloat",Enterotoxaemia
Buffalo,"Foamy saliva, Difficulty breathing, Paralysis, Convulsions, Sudden death, Incoordination, Neurological signs",Rabies
Goat,"Yellow urine, Anaemia, Weakness, Pale mucous membranes",Anaplasmosis
Buffalo,"Depression, Recumbency, Loss of appetite, Incoordination, Reduced movement",Milk Fever
Sheep,"Nasal discharge, Facial swelling, Difficulty breathing, Rapid breathing, High fever, Jaw swelling",Haemorrhagic Septicaemia
Cow,"Loss of appetite, Udder swelling, Abnormal milk, Fever, Weakness, Painful udder",Mastitis
Buffalo,"Weakness, Bloody diarrhoea, Sudden death, High fever, Dehydration",Salmonellosis
Sheep,"Incoordination, Paralysis, Depression, Recumbency, Neurological signs, Loss of appetite, Eye discharge, Fever",Listeriosis
Buffalo,"Restlessness, Reduced movement, Recumbency, Convulsions, Incoordination, Difficulty breathing, Neurological signs",Tetanus
Sheep,"Loss of appetite, Depression, Dehydration, Diarrhoea, Bloody diarrhoea, High fever, Sudden death, Weakness",Salmonellosis
Buffalo,"Itching, Hair loss, Skin lesions",Ringworm
Goat,"Difficulty breathing, Weakness, Sudden death, Depression, Rapid breathing, Swollen lymph nodes, Nasal discharge",East Coast Fever
Sheep,"Weight loss, Dullness, Dehydration, Bloody diarrhoea",Coccidiosis
Buffalo,"Reduced milk yield, Weakness, Weight loss, Diarrhoea",Johne’s Disease
Buffalo,"Lethargy, Depression, Pale mucous membranes, Yellow urine, Dark urine, High fever",Babesiosis
Buffalo,"Swollen lymph nodes, Sudden death, Rapid breathing",East Coast Fever
Goat,"Skin nodules, Scratching, Hair loss, Restlessness, Skin lesions, Weight loss, Itching, Dullness",Mange
Cow,"Weakness, Reduced milk yield, Udder swelling, Fever, Painful udder, Loss of appetite, Abnormal milk",Mastitis
Buffalo,"Depression, Anaemia, Yellow urine, Pale mucous membranes, Weakness, Fever",Anaplasmosis
Goat,"Depression, High fever, Rapid breathing, Difficulty breathing, Nasal discharge, Facial swelling, Lameness, Jaw swelling",Blue Tongue
Buffalo,"Diarrhoea, Dehydration, Weakness, Anaemia",Amphistomiasis
Buffalo,"Swollen lymph nodes, Reduced milk yield, Skin nodules, High fever",Lumpy Skin Disease (Lumpy Virus)
Goat,"Convulsions, Incoordination, Recumbency, Reduced movement",Tetanus
Buffalo,"Itching, Hair loss, Weight loss, Dullness, Restlessness, Scratching, Skin nodules, Skin lesions",Mange
Goat,"Drooling, Reduced milk yield, Lameness, Blisters on feet, Excess salivation, Blisters in mouth",Foot and Mouth Disease
Cow,"Nasal discharge, High fever, Jaw swelling, Facial swelling, Sudden death, Rapid breathing, Depression, Difficulty breathing",Haemorrhagic Septicaemia
Cow,"Swollen joints, Grunting sound, Chest pain",Black Quarter
Buffalo,"Sudden fever, High fever, Reduced movement, Swollen joints",Bovine Ephemeral Fever
Buffalo,"Rapid breathing, Facial swelling, Jaw swelling, Nasal discharge, Lameness, Difficulty breathing",Blue Tongue
Cow,"Anaemia, Dehydration, Weakness, Diarrhoea, Depression",Amphistomiasis
Sheep,"Rapid breathing, Difficulty breathing, Lameness, Jaw swelling, Facial swelling, Nasal discharge, Depression",Blue Tongue
Buffalo,"Pale mucous membranes, Yellow urine, Dark urine",Babesiosis
Sheep,"Skin nodules, Eye discharge, Loss of appetite, Nasal discharge, Swollen lymph nodes, Fever, Skin lesions, Depression",Sheep and Goat Pox
Cow,"Weight loss, Diarrhoea, Reduced milk yield, Loss of appetite",Johne’s Disease
Sheep,"Recumbency, Incoordination, Reduced movement, Difficulty breathing, Rapid breathing, Neurological signs, Convulsions",Tetanus
Sheep,"Convulsions, Restlessness, Paralysis, Neurological signs, Incoordination",Rabies
Sheep,"High fever, Nasal discharge, Depression, Dehydration, Diarrhoea, Difficulty breathing, Cough",Peste des Petits Ruminants
Cow,"Incoordination, Neurological signs, Eye discharge, Recumbency, Paralysis, Depression",Listeriosis
Sheep,"Diarrhoea, Weight loss, Lethargy, Fever, Dehydration, Weakness, Loss of appetite, Depression",Calf Scour
Buffalo,"Weakness, Loss of appetite, Bloody diarrhoea, Diarrhoea, Sudden death, High fever, Depression",Salmonellosis
Buffalo,"Nasal bleeding, Foamy saliva, High fever, Sudden death",Anthrax
Sheep,"Sudden death, Facial swelling, Difficulty breathing, Rapid breathing, Nasal discharge, Depression, High fever, Jaw swelling",Haemorrhagic Septicaemia
Buffalo,"Loss of appetite, Weight loss, Dullness, Bloody diarrhoea",Coccidiosis
Sheep,"Infertility, Abortion, Stillbirth, Reduced fertility",Brucellosis
Buffalo,"Skin nodules, High fever, Lameness, Reduced milk yield, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Cow,"Incoordination, Recumbency, Reduced movement, Difficulty breathing, Convulsions, Neurological signs",Tetanus
Cow,"Weight loss, Bloody diarrhoea, Depression, Dullness",Coccidiosis
Cow,"Nasal bleeding, Foamy saliva, Sudden death",Anthrax
Buffalo,"High fever, Difficulty breathing, Sudden death, Swollen lymph nodes, Rapid breathing, Nasal discharge, Weakness",East Coast Fever
Buffalo,"Weight loss, Loss of appetite, Depression, Fever, Dehydration, Lethargy, Weakness, Diarrhoea",Calf Scour
Cow,"Abdominal pain, Sudden death, Diarrhoea, Bloody diarrhoea, Dehydration, Bloat",Enterotoxaemia
Cow,"Reduced milk yield, Nasal discharge, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Cow,"Pale mucous membranes, Fever, Yellow urine, Lethargy, Anaemia, Depression",Anaplasmosis
